file,request,error,timestamp
CF-494-002-000042-PPDef.pdf,CF-494-002-000042-PPDef,400 Client Error: Bad Request for url: https://collect.prod.digifor.ci/api/v1/bo/certificates/494-002-000042/documents,2026-03-23T10:24:04.986156
CF-494-002-000043-PPDef.pdf,CF-494-002-000043-PPDef,400 Client Error: Bad Request for url: https://collect.prod.digifor.ci/api/v1/bo/certificates/494-002-000043/documents,2026-03-23T10:24:06.408850
CF-494-002-000044-PPDef.pdf,CF-494-002-000044-PPDef,400 Client Error: Bad Request for url: https://collect.prod.digifor.ci/api/v1/bo/certificates/494-002-000044/documents,2026-03-23T10:24:07.606500
CF-494-002-000046-PPDef.pdf,CF-494-002-000046-PPDef,400 Client Error: Bad Request for url: https://collect.prod.digifor.ci/api/v1/bo/certificates/494-002-000046/documents,2026-03-23T10:24:08.861170
CF-494-002-000047-PPDef.pdf,CF-494-002-000047-PPDef,400 Client Error: Bad Request for url: https://collect.prod.digifor.ci/api/v1/bo/certificates/494-002-000047/documents,2026-03-23T10:24:10.246696
CF-494-002-000050-PPDef.pdf,CF-494-002-000050-PPDef,400 Client Error: Bad Request for url: https://collect.prod.digifor.ci/api/v1/bo/certificates/494-002-000050/documents,2026-03-23T10:24:11.600039
CF-494-002-000052-PPDef.pdf,CF-494-002-000052-PPDef,400 Client Error: Bad Request for url: https://collect.prod.digifor.ci/api/v1/bo/certificates/494-002-000052/documents,2026-03-23T10:24:12.756121
CF-494-002-000062-PPDef.pdf,CF-494-002-000062-PPDef,400 Client Error: Bad Request for url: https://collect.prod.digifor.ci/api/v1/bo/certificates/494-002-000062/documents,2026-03-23T10:24:14.207475
CF-494-004-000006-PPDef.pdf,CF-494-004-000006-PPDef,400 Client Error: Bad Request for url: https://collect.prod.digifor.ci/api/v1/bo/certificates/494-004-000006/documents,2026-03-23T10:24:22.730053
CF-494-004-000008-PPDef.pdf,CF-494-004-000008-PPDef,400 Client Error: Bad Request for url: https://collect.prod.digifor.ci/api/v1/bo/certificates/494-004-000008/documents,2026-03-23T10:24:23.973954
CF-494-004-000016-PPDef.pdf,CF-494-004-000016-PPDef,400 Client Error: Bad Request for url: https://collect.prod.digifor.ci/api/v1/bo/certificates/494-004-000016/documents,2026-03-23T10:24:25.306990
CF-494-004-000017-PPDef.pdf,CF-494-004-000017-PPDef,400 Client Error: Bad Request for url: https://collect.prod.digifor.ci/api/v1/bo/certificates/494-004-000017/documents,2026-03-23T10:24:26.864721
CF-494-004-000024-PPDef.pdf,CF-494-004-000024-PPDef,400 Client Error: Bad Request for url: https://collect.prod.digifor.ci/api/v1/bo/certificates/494-004-000024/documents,2026-03-23T10:24:28.628918
CF-494-004-000026-PPDef.pdf,CF-494-004-000026-PPDef,400 Client Error: Bad Request for url: https://collect.prod.digifor.ci/api/v1/bo/certificates/494-004-000026/documents,2026-03-23T10:24:30.401078
CF-494-004-000029-PPDef.pdf,CF-494-004-000029-PPDef,400 Client Error: Bad Request for url: https://collect.prod.digifor.ci/api/v1/bo/certificates/494-004-000029/documents,2026-03-23T10:24:32.302824
CF-494-004-000044-PPDef.pdf,CF-494-004-000044-PPDef,400 Client Error: Bad Request for url: https://collect.prod.digifor.ci/api/v1/bo/certificates/494-004-000044/documents,2026-03-23T10:24:34.241589
CF-494-004-000045-PPDef.pdf,CF-494-004-000045-PPDef,400 Client Error: Bad Request for url: https://collect.prod.digifor.ci/api/v1/bo/certificates/494-004-000045/documents,2026-03-23T10:24:35.961833
CF-494-004-000050-PPDef.pdf,CF-494-004-000050-PPDef,400 Client Error: Bad Request for url: https://collect.prod.digifor.ci/api/v1/bo/certificates/494-004-000050/documents,2026-03-23T10:24:37.591273
CF-494-004-000052-PPDef.pdf,CF-494-004-000052-PPDef,400 Client Error: Bad Request for url: https://collect.prod.digifor.ci/api/v1/bo/certificates/494-004-000052/documents,2026-03-23T10:24:39.273027
CF-494-004-000056-PPDef.pdf,CF-494-004-000056-PPDef,400 Client Error: Bad Request for url: https://collect.prod.digifor.ci/api/v1/bo/certificates/494-004-000056/documents,2026-03-23T10:24:40.981818
CF-494-005-000033-PPDef.pdf,CF-494-005-000033-PPDef,400 Client Error: Bad Request for url: https://collect.prod.digifor.ci/api/v1/bo/certificates/494-005-000033/documents,2026-03-23T10:25:26.853915
CF-494-012-000003-PPDef.pdf,CF-494-012-000003-PPDef,400 Client Error: Bad Request for url: https://collect.prod.digifor.ci/api/v1/bo/certificates/494-012-000003/documents,2026-03-23T10:29:39.784806
CF-494-012-000005-PPDef.pdf,CF-494-012-000005-PPDef,400 Client Error: Bad Request for url: https://collect.prod.digifor.ci/api/v1/bo/certificates/494-012-000005/documents,2026-03-23T10:29:42.120608
CF-494-012-000007-PPDef.pdf,CF-494-012-000007-PPDef,400 Client Error: Bad Request for url: https://collect.prod.digifor.ci/api/v1/bo/certificates/494-012-000007/documents,2026-03-23T10:29:43.823627
CF-494-012-000008-PPDef.pdf,CF-494-012-000008-PPDef,400 Client Error: Bad Request for url: https://collect.prod.digifor.ci/api/v1/bo/certificates/494-012-000008/documents,2026-03-23T10:29:45.782087
CF-494-012-000010-PPDef.pdf,CF-494-012-000010-PPDef,400 Client Error: Bad Request for url: https://collect.prod.digifor.ci/api/v1/bo/certificates/494-012-000010/documents,2026-03-23T10:29:48.667751
