file,request,error,timestamp
CF-494-004-000052-PPDef.pdf,CF-494-004-000052-PPDef,400 Client Error: Bad Request for url: https://collect.prod.digifor.ci/api/v1/bo/certificates/494-004-000052/documents,2026-03-19T20:05:16.583728
CF-494-004-000056-PPDef.pdf,CF-494-004-000056-PPDef,400 Client Error: Bad Request for url: https://collect.prod.digifor.ci/api/v1/bo/certificates/494-004-000056/documents,2026-03-19T20:05:17.707565
CF-494-005-000023-PPDef.pdf,CF-494-005-000023-PPDef,"('Connection aborted.', ConnectionResetError(10054, 'Une connexion existante a dû être fermée par l’hôte distant', None, 10054, None))",2026-03-19T20:06:12.227265
CF-494-005-000033-PPDef.pdf,CF-494-005-000033-PPDef,400 Client Error: Bad Request for url: https://collect.prod.digifor.ci/api/v1/bo/certificates/494-005-000033/documents,2026-03-19T21:23:00.562632
CF-494-007-000076-PPDef.pdf,CF-494-007-000076-PPDef,"HTTPSConnectionPool(host='collect.prod.digifor.ci', port=443): Read timed out. (read timeout=30)",2026-03-19T21:25:49.703839
CF-494-007-000078-PPDef.pdf,CF-494-007-000078-PPDef,"HTTPSConnectionPool(host='collect.prod.digifor.ci', port=443): Read timed out. (read timeout=30)",2026-03-19T21:26:21.535166
CF-494-007-000079-PPDef.pdf,CF-494-007-000079-PPDef,"HTTPSConnectionPool(host='collect.prod.digifor.ci', port=443): Read timed out. (read timeout=30)",2026-03-19T21:26:54.065357
CF-494-007-000080-PPDef.pdf,CF-494-007-000080-PPDef,"HTTPSConnectionPool(host='collect.prod.digifor.ci', port=443): Read timed out. (read timeout=30)",2026-03-19T21:27:26.351930
CF-494-007-000082-PPDef.pdf,CF-494-007-000082-PPDef,"HTTPSConnectionPool(host='collect.prod.digifor.ci', port=443): Read timed out. (read timeout=30)",2026-03-19T21:27:58.400599
CF-494-007-000083-PPDef.pdf,CF-494-007-000083-PPDef,"HTTPSConnectionPool(host='collect.prod.digifor.ci', port=443): Read timed out. (read timeout=30)",2026-03-19T21:28:30.076958
CF-494-007-000084-PPDef.pdf,CF-494-007-000084-PPDef,"HTTPSConnectionPool(host='collect.prod.digifor.ci', port=443): Read timed out. (read timeout=30)",2026-03-19T21:29:01.896847
CF-494-010-000008-PPDef.pdf,CF-494-010-000008-PPDef,"HTTPSConnectionPool(host='collect.prod.digifor.ci', port=443): Read timed out. (read timeout=30)",2026-03-19T21:29:33.638512
CF-494-010-000015-PPDef.pdf,CF-494-010-000015-PPDef,"HTTPSConnectionPool(host='collect.prod.digifor.ci', port=443): Read timed out. (read timeout=30)",2026-03-19T21:30:05.283848
CF-494-010-000031-PPDef.pdf,CF-494-010-000031-PPDef,"HTTPSConnectionPool(host='collect.prod.digifor.ci', port=443): Read timed out. (read timeout=30)",2026-03-19T21:30:37.186752
CF-494-010-000036-PPDef.pdf,CF-494-010-000036-PPDef,"HTTPSConnectionPool(host='collect.prod.digifor.ci', port=443): Read timed out. (read timeout=30)",2026-03-19T21:31:09.438000
CF-494-010-000037-PPDef.pdf,CF-494-010-000037-PPDef,"HTTPSConnectionPool(host='collect.prod.digifor.ci', port=443): Read timed out. (read timeout=30)",2026-03-19T21:31:41.554864
CF-494-010-000040-PPDef.pdf,CF-494-010-000040-PPDef,"HTTPSConnectionPool(host='collect.prod.digifor.ci', port=443): Read timed out. (read timeout=30)",2026-03-19T21:32:14.411791
CF-494-010-000043-PPDef.pdf,CF-494-010-000043-PPDef,"HTTPSConnectionPool(host='collect.prod.digifor.ci', port=443): Read timed out. (read timeout=30)",2026-03-19T21:32:46.882320
CF-494-010-000044-PPDef.pdf,CF-494-010-000044-PPDef,"HTTPSConnectionPool(host='collect.prod.digifor.ci', port=443): Read timed out. (read timeout=30)",2026-03-19T21:33:19.238107
